Country,SOTwd (SD),WTwd (SD),MSTwd (SD)
South Africa,22:37:42 (58.59),06:20:56 (54.77),02:29:11 (53.31)
Hong Kong (China),00:11:29 (84.99),07:28:46 (79.13),03:50:00 (78.81)
India,00:12:20 (86.42),07:25:26 (89.71),03:48:45 (85.49)
Japan,00:27:50 (87.11),07:22:04 (87.08),03:54:53 (83.92)
Singapore,00:12:47 (82.59),07:25:45 (74.78),03:49:09 (75.32)
South Korea,00:05:02 (91.44),07:09:59 (87.50),03:37:27 (86.61)
Thailand,23:56:45 (85.36),07:18:01 (81.32),03:37:17 (80.34)
Austria,23:24:33 (67.07),07:03:46 (63.80),03:14:01 (62.38)
Belgium,23:37:22 (61.14),07:19:05 (58.05),03:28:05 (55.82)
Czech Republic,23:29:12 (66.32),07:05:13 (63.43),03:17:05 (61.98)
Denmark,23:22:45 (60.12),07:03:06 (59.96),03:12:48 (56.67)
Estonia,23:56:59 (65.40),07:37:43 (60.69),03:47:10 (59.85)
Finland,23:32:35 (61.77),07:15:24 (58.61),03:23:51 (56.77)
France,23:48:14 (64.11),07:27:27 (62.34),03:37:42 (59.75)
Germany,23:31:21 (65.88),07:07:32 (64.29),03:19:20 (61.99)
Greece,00:00:02 (78.33),07:35:04 (74.54),03:47:28 (73.76)
Ireland,23:39:14 (64.75),07:26:59 (63.10),03:32:58 (60.90)
Italy,23:50:14 (62.00),07:17:33 (59.63),03:33:46 (57.61)
Netherlands,23:34:43 (62.84),07:21:16 (59.11),03:27:52 (57.61)
Norway,23:49:52 (69.01),07:23:53 (68.84),03:36:43 (65.40)
Poland,23:45:52 (67.90),07:20:36 (63.34),03:33:08 (62.52)
Portugal,00:01:29 (73.58),07:39:07 (70.99),03:50:14 (68.75)
Romania,00:05:50 (75.21),07:39:21 (71.51),03:52:30 (70.32)
Russia,00:33:19 (76.81),08:12:24 (76.66),04:22:44 (74.11)
Slovakia,23:20:38 (62.44),06:56:05 (55.89),03:08:16 (56.05)
Spain,23:59:04 (63.10),07:33:24 (61.51),03:46:09 (58.89)
Sweden,23:25:54 (64.35),07:04:02 (62.30),03:14:51 (60.02)
Switzerland,23:29:44 (61.91),07:03:19 (59.40),03:16:25 (57.33)
UK,23:27:20 (67.59),07:10:12 (64.69),03:18:38 (62.86)
UAE,23:57:14 (87.18),07:20:17 (87.39),03:38:36 (84.69)
Canada,23:20:30 (75.11),07:02:59 (70.80),03:11:38 (69.48)
Mexico,23:36:02 (67.97),07:08:12 (64.85),03:22:00 (62.56)
USA,23:07:47 (76.95),06:46:35 (73.64),02:57:05 (71.80)
Australia,22:52:22 (70.86),06:38:04 (66.62),02:45:05 (65.61)
New Zealand,22:52:50 (63.52),06:42:30 (56.23),02:47:31 (56.68)