Country,TSTwd Var (SD),SOTwd Var (SD),WTwd Var (SD)
South Africa,52.09 (14.94),50.20 (20.58),43.16 (16.56)
Hong Kong (China),53.31 (16.81),53.69 (24.69),48.83 (24.51)
India,57.80 (16.16),62.08 (28.90),57.89 (28.83)
Japan,61.31 (22.00),71.33 (43.22),62.55 (44.44)
Singapore,54.41 (17.05),55.67 (26.93),50.21 (27.31)
South Korea,61.39 (18.40),66.69 (29.23),58.06 (28.20)
Thailand,56.15 (16.89),57.61 (25.40),50.32 (23.95)
Austria,50.56 (14.81),50.60 (22.54),45.73 (22.56)
Belgium,48.58 (15.62),46.97 (22.92),43.37 (22.80)
Czech Republic,50.57 (16.06),49.73 (22.79),43.96 (22.40)
Denmark,49.16 (14.81),49.20 (22.66),45.13 (23.12)
Estonia,52.01 (15.73),50.65 (22.61),45.99 (20.85)
Finland,48.16 (15.21),45.24 (22.38),43.39 (22.87)
France,51.37 (15.26),49.28 (20.58),45.37 (19.97)
Germany,49.85 (15.42),49.60 (23.62),44.73 (24.11)
Greece,53.68 (15.76),53.40 (21.30),49.13 (21.03)
Ireland,50.12 (17.22),48.94 (31.31),46.51 (29.10)
Italy,48.78 (14.38),48.51 (22.29),41.76 (21.63)
Netherlands,48.94 (15.83),46.91 (23.76),43.85 (22.88)
Norway,51.56 (17.78),50.76 (26.73),49.20 (28.27)
Poland,51.68 (15.13),50.97 (20.13),45.59 (20.39)
Portugal,52.42 (15.34),51.68 (21.64),47.00 (22.14)
Romania,55.11 (15.50),56.23 (25.77),49.65 (25.08)
Russia,57.71 (16.06),56.48 (23.54),52.94 (23.29)
Slovakia,48.66 (14.83),47.29 (22.73),41.41 (20.85)
Spain,50.99 (15.49),50.28 (22.18),46.21 (22.97)
Sweden,49.29 (15.58),47.49 (22.62),43.99 (22.51)
Switzerland,49.60 (15.14),47.89 (21.67),43.42 (21.54)
UK,49.36 (16.12),47.83 (25.42),44.14 (24.55)
UAE,57.98 (18.32),64.46 (31.90),58.78 (32.13)
Canada,50.45 (16.36),50.15 (26.96),46.16 (26.00)
Mexico,56.34 (15.97),57.88 (28.47),52.64 (27.40)
USA,52.81 (17.37),52.64 (28.25),48.42 (27.15)
Australia,50.13 (16.32),49.15 (26.94),45.59 (25.60)
New Zealand,48.36 (14.89),45.27 (21.70),41.67 (20.63)