Country,TSTwd (SD),SOLwd (SD),SEwd/% (SD),WASOwd (SD)
South Africa,414.17 (39.94),11.79 (4.77),85.32 (4.47),48.83 (20.13)
Hong Kong (China),391.55 (43.72),11.35 (3.73),85.18 (4.61),45.47 (21.58)
India,384.68 (43.67),12.02 (3.84),84.26 (4.70),48.15 (19.95)
Japan,366.03 (45.16),12.87 (4.48),83.36 (5.10),48.07 (22.00)
Singapore,386.87 (45.83),11.77 (3.89),84.82 (4.81),45.86 (21.10)
South Korea,378.63 (45.77),12.44 (3.81),84.30 (4.89),46.21 (20.50)
Thailand,396.20 (42.68),11.63 (4.15),85.32 (4.33),44.88 (20.49)
Austria,415.47 (39.26),12.03 (4.38),86.25 (4.24),43.45 (19.75)
Belgium,416.49 (42.05),11.26 (4.11),86.08 (4.31),44.92 (19.75)
Czech Republic,413.97 (38.55),11.51 (4.24),86.52 (4.12),41.79 (19.08)
Denmark,414.01 (39.70),12.13 (4.43),85.70 (4.59),46.07 (21.58)
Estonia,418.59 (40.92),12.18 (4.51),86.53 (4.51),41.79 (20.20)
Finland,421.82 (39.85),12.27 (4.51),86.85 (4.29),40.70 (20.21)
France,413.85 (40.89),11.59 (4.33),85.96 (4.42),45.09 (20.86)
Germany,412.55 (39.33),11.63 (4.20),86.25 (4.30),43.41 (19.94)
Greece,411.78 (40.93),11.80 (4.40),86.12 (4.25),43.06 (19.11)
Ireland,420.04 (39.26),11.87 (4.53),85.62 (4.29),47.42 (20.49)
Italy,405.74 (39.95),11.68 (4.07),86.32 (4.21),41.33 (18.51)
Netherlands,420.10 (40.02),11.55 (4.10),85.87 (4.33),46.21 (20.68)
Norway,410.78 (40.76),11.80 (4.28),86.24 (4.19),42.90 (20.38)
Poland,413.25 (40.44),11.82 (4.47),86.50 (4.02),41.25 (18.06)
Portugal,411.27 (43.75),11.06 (3.86),85.75 (4.59),46.23 (21.79)
Romania,409.75 (41.83),12.84 (4.75),85.88 (4.32),43.61 (19.52)
Russia,415.94 (39.18),12.19 (4.07),86.15 (4.14),42.88 (19.33)
Slovakia,415.13 (37.49),11.72 (4.03),86.81 (3.95),40.15 (18.43)
Spain,409.99 (40.35),12.07 (4.27),85.92 (4.35),44.16 (20.05)
Sweden,415.52 (39.72),11.74 (4.36),86.48 (4.22),42.36 (19.51)
Switzerland,412.00 (40.05),11.57 (4.38),86.63 (4.33),41.36 (19.62)
UK,416.28 (41.81),11.62 (4.13),85.76 (4.61),46.30 (21.46)
UAE,397.48 (42.79),11.66 (3.99),85.39 (4.40),45.26 (19.72)
Canada,416.03 (44.37),11.78 (4.54),85.81 (4.68),46.20 (21.82)
Mexico,406.02 (44.49),11.78 (4.06),85.49 (4.37),45.88 (19.82)
USA,412.39 (45.21),11.52 (4.34),85.79 (4.63),46.20 (21.36)
Australia,417.71 (42.05),11.53 (4.18),85.59 (4.60),47.71 (21.43)
New Zealand,422.50 (40.78),11.72 (4.27),85.84 (4.55),46.86 (21.29)