Country,TSTwe (SD),SOLwe (SD),SEwe/% (SD),WASOwe (SD)
South Africa,428.52 (41.70),11.61 (4.67),85.01 (4.50),53.22 (21.06)
Hong Kong (China),409.15 (46.47),11.35 (4.12),84.93 (4.71),49.64 (22.52)
India,388.25 (45.64),11.81 (3.91),84.17 (4.72),49.49 (20.22)
Japan,384.74 (48.90),12.81 (4.59),82.95 (5.14),53.60 (23.99)
Singapore,401.87 (47.88),11.59 (3.96),84.71 (4.82),48.95 (21.68)
South Korea,396.68 (47.87),12.47 (3.70),83.76 (4.85),52.63 (22.86)
Thailand,404.04 (44.50),11.70 (4.11),85.09 (4.46),46.82 (20.70)
Austria,436.67 (42.40),11.87 (4.50),85.98 (4.21),47.98 (20.33)
Belgium,435.18 (44.77),11.17 (4.29),85.74 (4.29),49.66 (20.50)
Czech Republic,435.30 (40.94),11.26 (4.23),86.28 (4.09),46.08 (19.49)
Denmark,429.21 (41.65),11.85 (4.28),85.28 (4.50),50.73 (21.57)
Estonia,441.84 (44.59),11.77 (4.32),86.15 (4.58),47.48 (21.50)
Finland,446.24 (42.75),11.75 (4.33),86.43 (4.18),46.78 (20.83)
France,433.29 (43.94),11.42 (4.40),85.70 (4.43),49.37 (21.56)
Germany,434.92 (43.22),11.39 (4.20),85.93 (4.29),48.64 (21.01)
Greece,427.48 (45.15),11.71 (4.64),85.90 (4.25),46.45 (19.30)
Ireland,432.17 (43.08),11.39 (4.24),85.26 (4.31),51.49 (21.00)
Italy,425.90 (42.40),11.54 (4.10),85.95 (4.21),46.39 (19.56)
Netherlands,435.61 (44.36),11.39 (4.24),85.51 (4.32),50.59 (21.14)
Norway,435.29 (42.97),11.56 (4.41),85.90 (4.20),48.52 (21.51)
Poland,428.95 (41.45),11.64 (4.67),86.17 (3.99),45.39 (18.55)
Portugal,427.14 (44.87),10.92 (3.90),85.48 (4.55),50.14 (21.99)
Romania,426.91 (42.70),12.63 (4.72),85.61 (4.24),47.66 (20.18)
Russia,432.15 (41.15),11.88 (4.17),86.00 (4.16),46.16 (20.11)
Slovakia,435.25 (40.21),11.43 (4.01),86.50 (3.88),44.62 (18.66)
Spain,427.06 (43.57),11.95 (4.46),85.54 (4.37),48.76 (20.45)
Sweden,435.64 (41.86),11.61 (4.47),86.09 (4.15),47.56 (20.04)
Switzerland,437.08 (43.18),11.43 (4.45),86.29 (4.32),46.95 (20.61)
UK,430.54 (44.32),11.38 (4.23),85.42 (4.60),50.59 (22.05)
UAE,405.99 (44.83),11.36 (3.98),85.11 (4.43),48.41 (20.83)
Canada,430.90 (45.91),11.65 (4.62),85.53 (4.65),50.28 (22.44)
Mexico,416.90 (46.28),11.48 (4.21),85.21 (4.29),49.84 (20.44)
USA,429.01 (47.18),11.44 (4.46),85.55 (4.60),50.37 (22.17)
Australia,428.81 (44.32),11.55 (4.36),85.23 (4.57),51.53 (21.91)
New Zealand,438.20 (45.25),11.68 (4.27),85.46 (4.49),51.41 (21.67)